,open_time,open,high,low,close,volume,close_time,quote_asset_volume,no_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
539,1629977400000,3107.43,3107.43,3093.60,3105.03,19137.645,1629978299999,59316768.97807,26520,8847.780,27426520.70461
540,1629978300000,3105.02,3105.02,3086.66,3088.16,15522.623,1629979199999,48024781.49875,23290,6429.004,19894024.65816
541,1629979200000,3088.16,3091.28,3052.00,3068.12,74051.194,1629980099999,227270743.73126,84560,33071.381,101506837.52328
542,1629980100000,3068.12,3132.65,3068.12,3131.43,102396.362,1629980999999,318654434.52348,99873,54542.414,169672886.68236
543,1629981000000,3131.44,3132.50,3101.57,3110.61,42894.402,1629981899999,133589277.63106,44862,19608.277,61053173.99462
544,1629981900000,3110.63,3110.81,3086.28,3100.00,38190.673,1629982799999,118211750.39519,42142,17926.886,55483438.41455
545,1629982800000,3099.99,3116.70,3094.53,3095.51,34365.632,1629983699999,106778452.89332,38167,16621.697,51661879.34269
546,1629983700000,3095.51,3112.00,3095.51,3109.75,16942.405,1629984599999,52600426.47934,23417,9113.468,28295163.86251
547,1629984600000,3109.77,3120.00,3104.45,3118.87,18559.749,1629985499999,57802395.25046,24140,10685.315,33281369.73382
548,1629985500000,3118.87,3131.31,3110.00,3125.58,24803.723,1629986399999,77454222.69268,29674,12942.441,40418044.46839
549,1629986400000,3125.58,3148.77,3122.77,3142.59,41979.040,1629987299999,131761267.27603,46192,24404.766,76605676.64192
550,1629987300000,3142.60,3144.64,3119.58,3121.10,29821.684,1629988199999,93372077.75396,34467,10742.279,33636729.48853
